shared_path,first_date,first_commit,latest_date,latest_commit,slides,size_bytes,sha256,path
20260609_01_chat_stability_question_types.pptx,2026-06-09T11:33:49+08:00,8a84603b44bcb38a58f2b55bce84b7875c76faec,2026-06-09T11:33:49+08:00,8a84603b44bcb38a58f2b55bce84b7875c76faec,1,30066,e076a2889edcdbd1614bac5bdb8a5088628b3c8f30d06f20846f36b749d016c6,chat_stability_question_types.pptx
20260609_02_kb_architecture_slide.pptx,2026-06-09T11:33:49+08:00,8a84603b44bcb38a58f2b55bce84b7875c76faec,2026-06-09T11:33:49+08:00,8a84603b44bcb38a58f2b55bce84b7875c76faec,3,35127,181d3318683897c2215415c02cb7c85e1e0a7a26e47581a3e8258c7516d7f628,kb_architecture_slide.pptx
20260609_03_manual_ingest_customer_intro.pptx,2026-06-09T11:33:49+08:00,8a84603b44bcb38a58f2b55bce84b7875c76faec,2026-06-09T11:33:49+08:00,8a84603b44bcb38a58f2b55bce84b7875c76faec,3,35770,5d75f5914922b44cdcf11ca32f324f21a622200b74450582b09a86ce60ffc022,manual_ingest_customer_intro.pptx
20260609_04_neo4j_customer_intro.pptx,2026-06-09T11:33:49+08:00,8a84603b44bcb38a58f2b55bce84b7875c76faec,2026-06-09T11:33:49+08:00,8a84603b44bcb38a58f2b55bce84b7875c76faec,1,30664,30ed953393c7ee4f93a13ae00ae9dece6331c0ecab68d9018ae3b38f40f17915,neo4j_customer_intro.pptx
20260609_05_qdrant_customer_intro.pptx,2026-06-09T11:33:49+08:00,8a84603b44bcb38a58f2b55bce84b7875c76faec,2026-06-09T11:33:49+08:00,8a84603b44bcb38a58f2b55bce84b7875c76faec,1,30562,cfb8a3d7ae45a754ea51a6726911f4563f5d459c0460ef31d6bf45d49b8cadac,qdrant_customer_intro.pptx
20260609_06_query_examples_slide.pptx,2026-06-09T11:33:49+08:00,8a84603b44bcb38a58f2b55bce84b7875c76faec,2026-06-09T11:33:49+08:00,8a84603b44bcb38a58f2b55bce84b7875c76faec,3,35232,98f1ec04f98717500b72ba24fa974d3a53bf2b194f276ec6bed6aa0aa92a40d8,query_examples_slide.pptx
20260806_07_ANRITSU_AGENT_A2A_IMPLEMENTATION_GUIDE.pptx,2026-08-06T10:44:23+08:00,3c50a96eeae7f38fc42f9e8a6152e41bf8324286,2026-08-10T14:04:58+08:00,35d8d56a713d7436b8db2fc81ae4b96e8c13516a,22,86139,da9840f027bc2142b0b0f1a6ea55308157edc2d9a676bedb258952af72c450fb,ANRITSU_AGENT_A2A_IMPLEMENTATION_GUIDE.pptx
20260806_08_SUB2API_LLM_Architecture_Diagram.pptx,2026-08-06T10:44:23+08:00,3c50a96eeae7f38fc42f9e8a6152e41bf8324286,2026-08-06T11:02:43+08:00,e3d7d29e210378c2211fb33dd66c4a8ea1eceb41,1,1398872,6642c835845b6c2675127e82e245ff0261ed89b354edb82019cd49b2bc3699dd,SUB2API_LLM_Architecture_Diagram.pptx
20260806_09_anritsu_amarisoft_kb_architecture.pptx,2026-08-06T10:44:23+08:00,3c50a96eeae7f38fc42f9e8a6152e41bf8324286,2026-08-06T11:02:43+08:00,e3d7d29e210378c2211fb33dd66c4a8ea1eceb41,4,37402,39fa78c386c16ce3fef790272f9055d5adf9fae3fc2f898a442e8dae64ec0bd7,anritsu_amarisoft_kb_architecture.pptx
20260806_10_dual_test_env_ollama_architecture.pptx,2026-08-06T10:44:23+08:00,3c50a96eeae7f38fc42f9e8a6152e41bf8324286,2026-08-06T11:02:43+08:00,e3d7d29e210378c2211fb33dd66c4a8ea1eceb41,5,66217,c780bb641394f94292fbf1e43cb0c3c37bcfc233666eaa15b508825579dd77bb,dual_test_env_ollama_architecture.pptx
20260806_11_knowledge_base_architecture_all_dig_style.pptx,2026-08-06T10:44:23+08:00,3c50a96eeae7f38fc42f9e8a6152e41bf8324286,2026-08-06T11:02:43+08:00,e3d7d29e210378c2211fb33dd66c4a8ea1eceb41,5,47156,26b5ac7aa3922cba5d743a927069cf811e989165b5b7cff21f80988c2b6b08bb,knowledge_base_architecture_all_dig_style.pptx
20260806_12_knowledge_base_architecture_diagrams.pptx,2026-08-06T10:44:23+08:00,3c50a96eeae7f38fc42f9e8a6152e41bf8324286,2026-08-06T11:02:43+08:00,e3d7d29e210378c2211fb33dd66c4a8ea1eceb41,5,58438,6663cf8c1706d16c4945f1c30d7ceec3addbe4d61a61d296629a9bb9a187b6a1,knowledge_base_architecture_diagrams.pptx
20260806_13_knowledge_base_enterprise_architecture.pptx,2026-08-06T10:44:23+08:00,3c50a96eeae7f38fc42f9e8a6152e41bf8324286,2026-08-06T11:02:43+08:00,e3d7d29e210378c2211fb33dd66c4a8ea1eceb41,10,73596,1573f41fcac3d06104f1ec7d5619dd9a5029486bdc53193522f2f8bbe9e8254c,knowledge_base_enterprise_architecture.pptx
20260806_14_knowledge_base_topology_gap_comparison.pptx,2026-08-06T10:44:23+08:00,3c50a96eeae7f38fc42f9e8a6152e41bf8324286,2026-08-06T11:02:43+08:00,e3d7d29e210378c2211fb33dd66c4a8ea1eceb41,3,42485,14d3061e0685ec92b285ceb0804b3bbe6e90aff23282299b93bfa1b4650e4530,knowledge_base_topology_gap_comparison.pptx
20260806_15_new_machine_rebuild_guide.pptx,2026-08-06T10:44:23+08:00,3c50a96eeae7f38fc42f9e8a6152e41bf8324286,2026-08-06T11:02:43+08:00,e3d7d29e210378c2211fb33dd66c4a8ea1eceb41,9,50028,58cf5b04b502aa4ea1b783f0557dea2468f6a0c79e5e1b142dcf8321b2348458,new_machine_rebuild_guide.pptx
20260806_16_onprem_post_install_connection_guide.pptx,2026-08-06T10:44:23+08:00,3c50a96eeae7f38fc42f9e8a6152e41bf8324286,2026-08-06T11:02:43+08:00,e3d7d29e210378c2211fb33dd66c4a8ea1eceb41,7,45044,ed5d35150c4025d4b86aa472ff0a1c4d6a660c5aae7bb209a4aa20563de773e8,onprem_post_install_connection_guide.pptx
20260806_17_sub2api_development_progress.pptx,2026-08-06T10:44:23+08:00,3c50a96eeae7f38fc42f9e8a6152e41bf8324286,2026-08-06T11:02:43+08:00,e3d7d29e210378c2211fb33dd66c4a8ea1eceb41,8,50777,9bcd00ec32ed4637220d0e4ff5c1a6e5f9a598218a4038fd77093d4f7c655e8e,sub2api_development_progress.pptx
20260806_18_sub2api_simple_architecture.pptx,2026-08-06T10:44:23+08:00,3c50a96eeae7f38fc42f9e8a6152e41bf8324286,2026-08-06T11:02:43+08:00,e3d7d29e210378c2211fb33dd66c4a8ea1eceb41,1,30262,f6ed594ac5891a2216a6fe13625adab4fdb248607888e26e545887419596b328,sub2api_simple_architecture.pptx
20260810_19_KM_MODERNIZATION_WP0-WP13_ROADMAP.pptx,2026-08-10T18:32:41+08:00,51948675916634805e547fe3e8b8444fff14b47e,2026-08-10T18:32:41+08:00,51948675916634805e547fe3e8b8444fff14b47e,15,52189,a891cbbc04a17d30808d21be44dad554f7b8a80fe3f1692b2f21a12176832905,docs/km-modernization/KM_MODERNIZATION_WP0-WP13_ROADMAP.pptx
20260811_20_AI-KM-Weekly-2026-W33.pptx,2026-08-11T09:56:38+08:00,1beee3d8e6448d21f9d80488cc65c85f5af7963e,2026-08-11T14:57:02+08:00,47cb977e3191e6edd861f0bb172a638d8a23fcd1,7,159202,4de6d4eadfd7bbc30fa743bbe194e040a58a746fe36d3b6a1dd88475ef80b4be,docs/km-modernization/progress/presentations/AI-KM-Weekly-2026-W33.pptx
templates/TEMPLATE_weekly-report-template.pptx,2026-08-11T09:56:38+08:00,1beee3d8e6448d21f9d80488cc65c85f5af7963e,2026-08-11T09:56:38+08:00,1beee3d8e6448d21f9d80488cc65c85f5af7963e,7,91911,71652c88bae2d9a4c4a365018215c54737969fe5629f91f2b1ddbeada5525d38,docs/km-modernization/progress/templates/weekly-report-template.pptx
20260811_21_AI-KM-Phase1-Weekly-2026-W33-v2.6.pptx,2026-08-11T16:51:24+08:00,dce63ae653d51a421f468b2e2d4d04c044360799,2026-08-12T11:48:00+08:00,LOCAL-ITEMIZED-20260812,17,77275,c5ceb4093dd7dc1b3b44fad7e24ee7b85b6bcba75b3a553269f27a028d017979,AI-KM-Phase1-Weekly-2026-W33-v2.6.pptx (base: dce63ae653d5; 80-item WP0/WP1 ledger)
